prediction,predicted_bits,actual_bits,decrypted_predicted,decrypted_actual,cosine_similarity,per_sample_bit_accuracy
"[0.5133820176124573, 0.500543475151062, 0.4750785827636719, 0.4971861243247986, 0.48140427470207214, 0.5215829610824585, 0.4877552390098572, 0.49140501022338867, 0.5330185294151306, 0.5136666297912598, 0.4874595105648041, 0.49952414631843567, 0.5091580152511597, 0.49117252230644226, 0.5150566697120667, 0.4842543303966522, 0.5158300995826721, 0.48619014024734497, 0.4911869168281555, 0.5241413116455078, 0.5009171962738037, 0.5099167227745056, 0.5272579789161682, 0.48854711651802063, 0.4918161928653717, 0.4864068627357483, 0.4964393675327301, 0.5127220749855042, 0.48372846841812134, 0.5223578214645386, 0.4968582093715668, 0.4874078035354614, 0.5204787850379944, 0.4931167960166931, 0.48307594656944275, 0.4972054660320282, 0.4804292619228363, 0.4689564108848572, 0.5001336932182312, 0.49866557121276855, 0.4967802166938782, 0.48939967155456543, 0.5166864991188049, 0.5145601630210876, 0.5204532742500305, 0.500551700592041, 0.5139002799987793, 0.4995839595794678, 0.49285754561424255, 0.5064873099327087, 0.492947518825531, 0.5214303731918335, 0.491620272397995, 0.5118375420570374, 0.4890075623989105, 0.46920880675315857, 0.47659534215927124, 0.5102970004081726, 0.5226075649261475, 0.5073889493942261, 0.49452006816864014, 0.4928981363773346, 0.5221453309059143, 0.4975963830947876]",1100010011001010100111100001010010000010001111100101010001110010,1011000100011001101111011001000111110110001100111110111011010110,Cc̭d,ޤ_	,0.759370154376001,51.5625
"[0.5133820176124573, 0.500543475151062, 0.4750785827636719, 0.4971861243247986, 0.48140427470207214, 0.5215829610824585, 0.4877552390098572, 0.49140501022338867, 0.5330185294151306, 0.5136666297912598, 0.4874595105648041, 0.49952414631843567, 0.5091580152511597, 0.49117252230644226, 0.5150566697120667, 0.4842543303966522, 0.5158300995826721, 0.48619014024734497, 0.4911869168281555, 0.5241413116455078, 0.5009171962738037, 0.5099167227745056, 0.5272579789161682, 0.48854711651802063, 0.4918161928653717, 0.4864068627357483, 0.4964393675327301, 0.5127220749855042, 0.48372846841812134, 0.5223578214645386, 0.4968582093715668, 0.4874078035354614, 0.5204787850379944, 0.4931167960166931, 0.48307594656944275, 0.4972054660320282, 0.4804292619228363, 0.4689564108848572, 0.5001336932182312, 0.49866557121276855, 0.4967802166938782, 0.48939967155456543, 0.5166864991188049, 0.5145601630210876, 0.5204532742500305, 0.500551700592041, 0.5139002799987793, 0.4995839595794678, 0.49285754561424255, 0.5064873099327087, 0.492947518825531, 0.5214303731918335, 0.491620272397995, 0.5118375420570374, 0.4890075623989105, 0.46920880675315857, 0.47659534215927124, 0.5102970004081726, 0.5226075649261475, 0.5073889493942261, 0.49452006816864014, 0.4928981363773346, 0.5221453309059143, 0.4975963830947876]",1100010011001010100111100001010010000010001111100101010001110010,0010101110001000101110000100100100101100000111101001000100100100,Cc̭d,|]ug,0.6218132476095538,51.5625
"[0.5133820176124573, 0.500543475151062, 0.4750785827636719, 0.4971861243247986, 0.48140427470207214, 0.5215829610824585, 0.4877552390098572, 0.49140501022338867, 0.5330185294151306, 0.5136666297912598, 0.4874595105648041, 0.49952414631843567, 0.5091580152511597, 0.49117252230644226, 0.5150566697120667, 0.4842543303966522, 0.5158300995826721, 0.48619014024734497, 0.4911869168281555, 0.5241413116455078, 0.5009171962738037, 0.5099167227745056, 0.5272579789161682, 0.48854711651802063, 0.4918161928653717, 0.4864068627357483, 0.4964393675327301, 0.5127220749855042, 0.48372846841812134, 0.5223578214645386, 0.4968582093715668, 0.4874078035354614, 0.5204787850379944, 0.4931167960166931, 0.48307594656944275, 0.4972054660320282, 0.4804292619228363, 0.4689564108848572, 0.5001336932182312, 0.49866557121276855, 0.4967802166938782, 0.48939967155456543, 0.5166864991188049, 0.5145601630210876, 0.5204532742500305, 0.500551700592041, 0.5139002799987793, 0.4995839595794678, 0.49285754561424255, 0.5064873099327087, 0.492947518825531, 0.5214303731918335, 0.491620272397995, 0.5118375420570374, 0.4890075623989105, 0.46920880675315857, 0.47659534215927124, 0.5102970004081726, 0.5226075649261475, 0.5073889493942261, 0.49452006816864014, 0.4928981363773346, 0.5221453309059143, 0.4975963830947876]",1100010011001010100111100001010010000010001111100101010001110010,1100000111101111011000100100110101110101001010001010111010111000,Cc̭d,pTO2,0.7165546073981389,45.3125
"[0.5133820176124573, 0.500543475151062, 0.4750785827636719, 0.4971861243247986, 0.48140427470207214, 0.5215829610824585, 0.4877552390098572, 0.49140501022338867, 0.5330185294151306, 0.5136666297912598, 0.4874595105648041, 0.49952414631843567, 0.5091580152511597, 0.49117252230644226, 0.5150566697120667, 0.4842543303966522, 0.5158300995826721, 0.48619014024734497, 0.4911869168281555, 0.5241413116455078, 0.5009171962738037, 0.5099167227745056, 0.5272579789161682, 0.48854711651802063, 0.4918161928653717, 0.4864068627357483, 0.4964393675327301, 0.5127220749855042, 0.48372846841812134, 0.5223578214645386, 0.4968582093715668, 0.4874078035354614, 0.5204787850379944, 0.4931167960166931, 0.48307594656944275, 0.4972054660320282, 0.4804292619228363, 0.4689564108848572, 0.5001336932182312, 0.49866557121276855, 0.4967802166938782, 0.48939967155456543, 0.5166864991188049, 0.5145601630210876, 0.5204532742500305, 0.500551700592041, 0.5139002799987793, 0.4995839595794678, 0.49285754561424255, 0.5064873099327087, 0.492947518825531, 0.5214303731918335, 0.491620272397995, 0.5118375420570374, 0.4890075623989105, 0.46920880675315857, 0.47659534215927124, 0.5102970004081726, 0.5226075649261475, 0.5073889493942261, 0.49452006816864014, 0.4928981363773346, 0.5221453309059143, 0.4975963830947876]",1100010011001010100111100001010010000010001111100101010001110010,1101010000001010010010010111010000000101111110000101100001101001,Cc̭d,X;wG=,0.6537206039156367,60.9375
"[0.5133820176124573, 0.500543475151062, 0.4750785827636719, 0.4971861243247986, 0.48140427470207214, 0.5215829610824585, 0.4877552390098572, 0.49140501022338867, 0.5330185294151306, 0.5136666297912598, 0.4874595105648041, 0.49952414631843567, 0.5091580152511597, 0.49117252230644226, 0.5150566697120667, 0.4842543303966522, 0.5158300995826721, 0.48619014024734497, 0.4911869168281555, 0.5241413116455078, 0.5009171962738037, 0.5099167227745056, 0.5272579789161682, 0.48854711651802063, 0.4918161928653717, 0.4864068627357483, 0.4964393675327301, 0.5127220749855042, 0.48372846841812134, 0.5223578214645386, 0.4968582093715668, 0.4874078035354614, 0.5204787850379944, 0.4931167960166931, 0.48307594656944275, 0.4972054660320282, 0.4804292619228363, 0.4689564108848572, 0.5001336932182312, 0.49866557121276855, 0.4967802166938782, 0.48939967155456543, 0.5166864991188049, 0.5145601630210876, 0.5204532742500305, 0.500551700592041, 0.5139002799987793, 0.4995839595794678, 0.49285754561424255, 0.5064873099327087, 0.492947518825531, 0.5214303731918335, 0.491620272397995, 0.5118375420570374, 0.4890075623989105, 0.46920880675315857, 0.47659534215927124, 0.5102970004081726, 0.5226075649261475, 0.5073889493942261, 0.49452006816864014, 0.4928981363773346, 0.5221453309059143, 0.4975963830947876]",1100010011001010100111100001010010000010001111100101010001110010,1100010000000010100101000111011101001111011111100010110010000111,Cc̭d,cF*,0.6991130419600954,60.9375
"[0.5133820176124573, 0.500543475151062, 0.4750785827636719, 0.4971861243247986, 0.48140427470207214, 0.5215829610824585, 0.4877552390098572, 0.49140501022338867, 0.5330185294151306, 0.5136666297912598, 0.4874595105648041, 0.49952414631843567, 0.5091580152511597, 0.49117252230644226, 0.5150566697120667, 0.4842543303966522, 0.5158300995826721, 0.48619014024734497, 0.4911869168281555, 0.5241413116455078, 0.5009171962738037, 0.5099167227745056, 0.5272579789161682, 0.48854711651802063, 0.4918161928653717, 0.4864068627357483, 0.4964393675327301, 0.5127220749855042, 0.48372846841812134, 0.5223578214645386, 0.4968582093715668, 0.4874078035354614, 0.5204787850379944, 0.4931167960166931, 0.48307594656944275, 0.4972054660320282, 0.4804292619228363, 0.4689564108848572, 0.5001336932182312, 0.49866557121276855, 0.4967802166938782, 0.48939967155456543, 0.5166864991188049, 0.5145601630210876, 0.5204532742500305, 0.500551700592041, 0.5139002799987793, 0.4995839595794678, 0.49285754561424255, 0.5064873099327087, 0.492947518825531, 0.5214303731918335, 0.491620272397995, 0.5118375420570374, 0.4890075623989105, 0.46920880675315857, 0.47659534215927124, 0.5102970004081726, 0.5226075649261475, 0.5073889493942261, 0.49452006816864014, 0.4928981363773346, 0.5221453309059143, 0.4975963830947876]",1100010011001010100111100001010010000010001111100101010001110010,0011100101011011101101100100011101001000100101011010010111000010,Cc̭d,#;Kx,0.6948008494210584,48.4375
"[0.5133820176124573, 0.500543475151062, 0.4750785827636719, 0.4971861243247986, 0.48140427470207214, 0.5215829610824585, 0.4877552390098572, 0.49140501022338867, 0.5330185294151306, 0.5136666297912598, 0.4874595105648041, 0.49952414631843567, 0.5091580152511597, 0.49117252230644226, 0.5150566697120667, 0.4842543303966522, 0.5158300995826721, 0.48619014024734497, 0.4911869168281555, 0.5241413116455078, 0.5009171962738037, 0.5099167227745056, 0.5272579789161682, 0.48854711651802063, 0.4918161928653717, 0.4864068627357483, 0.4964393675327301, 0.5127220749855042, 0.48372846841812134, 0.5223578214645386, 0.4968582093715668, 0.4874078035354614, 0.5204787850379944, 0.4931167960166931, 0.48307594656944275, 0.4972054660320282, 0.4804292619228363, 0.4689564108848572, 0.5001336932182312, 0.49866557121276855, 0.4967802166938782, 0.48939967155456543, 0.5166864991188049, 0.5145601630210876, 0.5204532742500305, 0.500551700592041, 0.5139002799987793, 0.4995839595794678, 0.49285754561424255, 0.5064873099327087, 0.492947518825531, 0.5214303731918335, 0.491620272397995, 0.5118375420570374, 0.4890075623989105, 0.46920880675315857, 0.47659534215927124, 0.5102970004081726, 0.5226075649261475, 0.5073889493942261, 0.49452006816864014, 0.4928981363773346, 0.5221453309059143, 0.4975963830947876]",1100010011001010100111100001010010000010001111100101010001110010,1001101111110111100110111101100100100001111110010111100101100101,Cc̭d,gRQt,0.7813998809742818,45.3125
"[0.5133820176124573, 0.500543475151062, 0.4750785827636719, 0.4971861243247986, 0.48140427470207214, 0.5215829610824585, 0.4877552390098572, 0.49140501022338867, 0.5330185294151306, 0.5136666297912598, 0.4874595105648041, 0.49952414631843567, 0.5091580152511597, 0.49117252230644226, 0.5150566697120667, 0.4842543303966522, 0.5158300995826721, 0.48619014024734497, 0.4911869168281555, 0.5241413116455078, 0.5009171962738037, 0.5099167227745056, 0.5272579789161682, 0.48854711651802063, 0.4918161928653717, 0.4864068627357483, 0.4964393675327301, 0.5127220749855042, 0.48372846841812134, 0.5223578214645386, 0.4968582093715668, 0.4874078035354614, 0.5204787850379944, 0.4931167960166931, 0.48307594656944275, 0.4972054660320282, 0.4804292619228363, 0.4689564108848572, 0.5001336932182312, 0.49866557121276855, 0.4967802166938782, 0.48939967155456543, 0.5166864991188049, 0.5145601630210876, 0.5204532742500305, 0.500551700592041, 0.5139002799987793, 0.4995839595794678, 0.49285754561424255, 0.5064873099327087, 0.492947518825531, 0.5214303731918335, 0.491620272397995, 0.5118375420570374, 0.4890075623989105, 0.46920880675315857, 0.47659534215927124, 0.5102970004081726, 0.5226075649261475, 0.5073889493942261, 0.49452006816864014, 0.4928981363773346, 0.5221453309059143, 0.4975963830947876]",1100010011001010100111100001010010000010001111100101010001110010,0010100101101001100010111111110000001001000100101100011001000001,Cc̭d,3P,0.6481227485234853,51.5625
"[0.5133820176124573, 0.500543475151062, 0.4750785827636719, 0.4971861243247986, 0.48140427470207214, 0.5215829610824585, 0.4877552390098572, 0.49140501022338867, 0.5330185294151306, 0.5136666297912598, 0.4874595105648041, 0.49952414631843567, 0.5091580152511597, 0.49117252230644226, 0.5150566697120667, 0.4842543303966522, 0.5158300995826721, 0.48619014024734497, 0.4911869168281555, 0.5241413116455078, 0.5009171962738037, 0.5099167227745056, 0.5272579789161682, 0.48854711651802063, 0.4918161928653717, 0.4864068627357483, 0.4964393675327301, 0.5127220749855042, 0.48372846841812134, 0.5223578214645386, 0.4968582093715668, 0.4874078035354614, 0.5204787850379944, 0.4931167960166931, 0.48307594656944275, 0.4972054660320282, 0.4804292619228363, 0.4689564108848572, 0.5001336932182312, 0.49866557121276855, 0.4967802166938782, 0.48939967155456543, 0.5166864991188049, 0.5145601630210876, 0.5204532742500305, 0.500551700592041, 0.5139002799987793, 0.4995839595794678, 0.49285754561424255, 0.5064873099327087, 0.492947518825531, 0.5214303731918335, 0.491620272397995, 0.5118375420570374, 0.4890075623989105, 0.46920880675315857, 0.47659534215927124, 0.5102970004081726, 0.5226075649261475, 0.5073889493942261, 0.49452006816864014, 0.4928981363773346, 0.5221453309059143, 0.4975963830947876]",1100010011001010100111100001010010000010001111100101010001110010,1010001100100011000001010111000011011010011101100110011100011010,Cc̭d,"/L.""",0.682547932983847,53.125
"[0.5133820176124573, 0.500543475151062, 0.4750785827636719, 0.4971861243247986, 0.48140427470207214, 0.5215829610824585, 0.4877552390098572, 0.49140501022338867, 0.5330185294151306, 0.5136666297912598, 0.4874595105648041, 0.49952414631843567, 0.5091580152511597, 0.49117252230644226, 0.5150566697120667, 0.4842543303966522, 0.5158300995826721, 0.48619014024734497, 0.4911869168281555, 0.5241413116455078, 0.5009171962738037, 0.5099167227745056, 0.5272579789161682, 0.48854711651802063, 0.4918161928653717, 0.4864068627357483, 0.4964393675327301, 0.5127220749855042, 0.48372846841812134, 0.5223578214645386, 0.4968582093715668, 0.4874078035354614, 0.5204787850379944, 0.4931167960166931, 0.48307594656944275, 0.4972054660320282, 0.4804292619228363, 0.4689564108848572, 0.5001336932182312, 0.49866557121276855, 0.4967802166938782, 0.48939967155456543, 0.5166864991188049, 0.5145601630210876, 0.5204532742500305, 0.500551700592041, 0.5139002799987793, 0.4995839595794678, 0.49285754561424255, 0.5064873099327087, 0.492947518825531, 0.5214303731918335, 0.491620272397995, 0.5118375420570374, 0.4890075623989105, 0.46920880675315857, 0.47659534215927124, 0.5102970004081726, 0.5226075649261475, 0.5073889493942261, 0.49452006816864014, 0.4928981363773346, 0.5221453309059143, 0.4975963830947876]",1100010011001010100111100001010010000010001111100101010001110010,1011101010100111111100101000000001001110010010110111101111101101,Cc̭d,m3Tc,0.7464976894542645,40.625
